Mid,Last_Succ_Com_Time_Text,Pond_Level_(foot),Pond_Level_(percent),Pond_Inventory,Stream_Level
WTRPOND-11,01-12-2023 10:45,14.005128,48.68269587,222270.0884,
WTRPOND-12,01-12-2023 10:45,17.88413,78.74222318,193403.0077,
WTRPOND-13,01-12-2023 10:45,12.778168,39.28579015,83587.1044,
WTRPOND-14,01-12-2023 10:45,18.36068,69.88782999,193060.1437,
WTRPOND-15,3/22/2023 15:30,18.03335,78.26136774,142222.4174,
WTRPOND-16,01-12-2023 10:45,21.76175,73.89403524,118792.7847,
WTRPOND-17,01-12-2023 10:45,13.042231,38.92359866,116232.208,
WTRPOND-18,01-12-2023 10:45,18.08627,78.77899814,180136.6034,
WTRPOND-19,01-12-2023 10:45,12.169545,29.74792268,63487.06999,214.1339
WTRPOND-20,01-11-2023 11:45,8.009541,6.931260641,34707.60855,
WTRPOND-21,01-12-2023 10:45,14.183248,37.83590194,39459.95541,
WTRPOND-22,01-12-2023 10:45,15.67333,61.7918044,116968.1666,
WTRPOND-23,01-12-2023 10:45,12.627409,38.17855447,91907.62938,
WTRPOND-24,01-12-2023 10:45,19.24388,64.57585711,124477.6654,
WTRPOND-25,01-12-2023 10:45,19.76115,58.58570665,54208.84828,
WTRPOND-26,01-12-2023 10:45,14.687321,27.12307001,94592.01822,
WTRPOND-27,3/22/2023 15:30,18.06994,51.51389767,93814.11928,
WTRPOND-28,01-12-2023 10:45,14.88603,40.98589434,66232.6517,
WTRPOND-29,01-12-2023 10:45,16.88224,81.00944406,201649.4949,
WTRPOND-30,,12.533917,32.69427633,64060.26322,
WTRPOND-31,  01/12 10:47:02,18.8426,51.28196121,103867.7075,
WTRPOND-32,  01/12 10:46:06,15.77194,71.818,240722.5022,
